address,area,description,district_id,furnishing,indoor_features,latitude,longitude,number_of_baths,number_of_beds,outdoor_features,posted_on,price,price_unit,project_id,project_name,project_type,property_id,scraped_date,special_features,tenure,top
,5124,,6,,,1.372586,103.769882,4,5,,,4065000,793.33,16087,Cashew Green,3,149094,<built-in method now of type object at 0x00007FFD8BD9D6C0>,,-1,0
,5726,,6,,,1.372586,103.769882,4,5,,,6330000,1105.48,16087,Cashew Green,3,149095,<built-in method now of type object at 0x00007FFD8BD9D6C0>,,-1,0
,1152,,11,,,1.278184,103.791721,2,4,,,2540000,2204.86,250,Bijou,2,146604,<built-in method now of type object at 0x00007FFD8BD9D6C0>,,5,2018
,5059,,9,,,1.2995,103.898182,4,5,,,9488000,1875.47,112,Amber Skye,2,141842,<built-in method now of type object at 0x00007FFD8BD9D6C0>,,5,0
,2886,,11,,,1.316839,103.78353,3,5,,,7425000,2572.77,16648,Parksuites,2,140820,<built-in method now of type object at 0x00007FFD8BD9D6C0>,,-1,2023
,700,,11,,,1.316839,103.78353,2,3,,,1327950,1897.07,16648,Parksuites,2,140823,<built-in method now of type object at 0x00007FFD8BD9D6C0>,,-1,2023
,3627,,7,,,1.2989683668886,103.7643456459,3,5,,,3770712,1039.62,-1,,3,140663,<built-in method now of type object at 0x00007FFD8BD9D6C0>,,2,0
,840,,9,,,1.316094,103.889036,2,4,,,1207000,1436.9,16682,Rezi 35,2,139513,<built-in method now of type object at 0x00007FFD8BD9D6C0>,,5,0
,1292,,19,,,1.312555,103.842108,2,3,,,1850000,1431.89,1703,Newton Edge,2,139112,<built-in method now of type object at 0x00007FFD8BD9D6C0>,,5,0
,5242,,12,,,1.315408,103.833316,4,5,,,7180535,1369.81,1027,Goodwood Grand,3,138662,<built-in method now of type object at 0x00007FFD8BD9D6C0>,,5,0
